Date, Open, High, Low, Close
06/06/22, 1.2489, 1.2578, 1.2477, 1.2533
06/03/22, 1.2577, 1.2590, 1.2484, 1.2489
06/02/22, 1.2491, 1.2587, 1.2469, 1.2578
06/01/22, 1.2602, 1.2617, 1.2459, 1.2487
05/31/22, 1.2652, 1.2656, 1.2560, 1.2603
05/30/22, 1.2618, 1.2661, 1.2614, 1.2653
05/27/22, 1.2605, 1.2668, 1.2587, 1.2632
05/26/22, 1.2575, 1.2621, 1.2551, 1.2607
05/25/22, 1.2531, 1.2592, 1.2482, 1.2576
05/24/22, 1.2589, 1.2599, 1.2472, 1.2533
05/23/22, 1.2489, 1.2602, 1.2472, 1.2588
05/20/22, 1.2469, 1.2501, 1.2439, 1.2493
05/19/22, 1.2343, 1.2525, 1.2338, 1.2473
05/18/22, 1.2493, 1.2501, 1.2330, 1.2344
05/17/22, 1.2323, 1.2500, 1.2316, 1.2496
05/16/22, 1.2264, 1.2330, 1.2218, 1.2321
05/13/22, 1.2203, 1.2265, 1.2158, 1.2264
05/12/22, 1.2250, 1.2259, 1.2167, 1.2201
05/11/22, 1.2315, 1.2399, 1.2237, 1.2251
05/10/22, 1.2334, 1.2375, 1.2292, 1.2316
05/09/22, 1.2352, 1.2407, 1.2261, 1.2331
05/06/22, 1.2360, 1.2381, 1.2276, 1.2340
05/05/22, 1.2633, 1.2637, 1.2325, 1.2359
05/04/22, 1.2499, 1.2639, 1.2457, 1.2635
05/03/22, 1.2491, 1.2567, 1.2471, 1.2500
05/02/22, 1.2592, 1.2598, 1.2473, 1.2494
04/29/22, 1.2459, 1.2613, 1.2448, 1.2576
04/28/22, 1.2546, 1.2569, 1.2412, 1.2458
04/27/22, 1.2572, 1.2603, 1.2502, 1.2544
04/26/22, 1.2739, 1.2773, 1.2571, 1.2573
04/25/22, 1.2862, 1.2874, 1.2697, 1.2741
04/22/22, 1.3028, 1.3036, 1.2822, 1.2838
04/21/22, 1.3053, 1.3090, 1.3022, 1.3029
04/20/22, 1.3000, 1.3072, 1.2993, 1.3067
04/19/22, 1.3019, 1.3042, 1.2981, 1.2998
04/18/22, 1.3051, 1.3076, 1.3004, 1.3011
04/15/22, 1.3074, 1.3080, 1.3049, 1.3060
04/14/22, 1.3116, 1.3148, 1.3034, 1.3078
04/13/22, 1.3001, 1.3119, 1.2973, 1.3117
04/12/22, 1.3030, 1.3053, 1.2995, 1.3002
04/11/22, 1.3042, 1.3058, 1.2989, 1.3028
04/08/22, 1.3076, 1.3082, 1.2982, 1.3034
04/07/22, 1.3070, 1.3107, 1.3052, 1.3074
04/06/22, 1.3076, 1.3108, 1.3046, 1.3067
04/05/22, 1.3116, 1.3168, 1.3066, 1.3072
04/04/22, 1.3102, 1.3166, 1.3093, 1.3114
04/01/22, 1.3141, 1.3153, 1.3086, 1.3113
03/31/22, 1.3133, 1.3177, 1.3107, 1.3143
03/30/22, 1.3087, 1.3183, 1.3085, 1.3135
03/29/22, 1.3091, 1.3160, 1.3051, 1.3095
03/28/22, 1.3178, 1.3189, 1.3067, 1.3092
03/25/22, 1.3186, 1.3225, 1.3161, 1.3181
03/24/22, 1.3205, 1.3214, 1.3157, 1.3187
03/23/22, 1.3263, 1.3299, 1.3175, 1.3207
03/22/22, 1.3168, 1.3272, 1.3120, 1.3262
03/21/22, 1.3181, 1.3211, 1.3127, 1.3169
03/18/22, 1.3147, 1.3198, 1.3110, 1.3177
03/17/22, 1.3148, 1.3210, 1.3089, 1.3148
03/16/22, 1.3043, 1.3162, 1.3035, 1.3149
03/15/22, 1.3002, 1.3088, 1.3000, 1.3041
03/14/22, 1.3047, 1.3079, 1.3000, 1.3001
03/11/22, 1.3084, 1.3124, 1.3027, 1.3038
03/10/22, 1.3182, 1.3194, 1.3081, 1.3085
03/09/22, 1.3105, 1.3191, 1.3088, 1.3185
03/08/22, 1.3106, 1.3144, 1.3083, 1.3102
03/07/22, 1.3214, 1.3248, 1.3101, 1.3104
03/04/22, 1.3348, 1.3358, 1.3202, 1.3235
03/03/22, 1.3407, 1.3418, 1.3319, 1.3349
03/02/22, 1.3326, 1.3408, 1.3273, 1.3408
03/01/22, 1.3416, 1.3438, 1.3302, 1.3325
02/28/22, 1.3331, 1.3432, 1.3330, 1.3415
02/25/22, 1.3381, 1.3440, 1.3367, 1.3416
02/24/22, 1.3544, 1.3551, 1.3273, 1.3382
02/23/22, 1.3588, 1.3621, 1.3536, 1.3546
02/22/22, 1.3600, 1.3604, 1.3539, 1.3586
02/21/22, 1.3585, 1.3640, 1.3584, 1.3603
02/18/22, 1.3616, 1.3643, 1.3573, 1.3588
02/17/22, 1.3584, 1.3639, 1.3556, 1.3615
02/16/22, 1.3540, 1.3602, 1.3532, 1.3583
02/15/22, 1.3518, 1.3567, 1.3487, 1.3541
02/14/22, 1.3561, 1.3572, 1.3495, 1.3528
02/11/22, 1.3558, 1.3609, 1.3515, 1.3562
02/10/22, 1.3533, 1.3644, 1.3523, 1.3559
02/09/22, 1.3546, 1.3589, 1.3527, 1.3535
02/08/22, 1.3536, 1.3565, 1.3508, 1.3545
02/07/22, 1.3551, 1.3555, 1.3490, 1.3537
02/04/22, 1.3597, 1.3615, 1.3505, 1.3528
02/03/22, 1.3580, 1.3628, 1.3537, 1.3598
02/02/22, 1.3523, 1.3588, 1.3516, 1.3574
02/01/22, 1.3446, 1.3529, 1.3434, 1.3522
01/31/22, 1.3399, 1.3461, 1.3387, 1.3448
01/28/22, 1.3384, 1.3434, 1.3364, 1.3408
01/27/22, 1.3463, 1.3469, 1.3359, 1.3383
01/26/22, 1.3507, 1.3526, 1.3445, 1.3465
01/25/22, 1.3488, 1.3520, 1.3436, 1.3508
01/24/22, 1.3550, 1.3567, 1.3440, 1.3490
01/21/22, 1.3597, 1.3603, 1.3545, 1.3553
01/20/22, 1.3613, 1.3662, 1.3586, 1.3600
01/19/22, 1.3591, 1.3649, 1.3588, 1.3611
01/18/22, 1.3644, 1.3662, 1.3573, 1.3596
01/17/22, 1.3674, 1.3690, 1.3637, 1.3646
01/14/22, 1.3706, 1.3744, 1.3653, 1.3677
01/13/22, 1.3701, 1.3750, 1.3700, 1.3704
01/12/22, 1.3636, 1.3714, 1.3621, 1.3700
01/11/22, 1.3565, 1.3637, 1.3562, 1.3634
01/10/22, 1.3591, 1.3605, 1.3532, 1.3576
01/07/22, 1.3533, 1.3598, 1.3528, 1.3593
01/06/22, 1.3555, 1.3560, 1.3490, 1.3531
01/05/22, 1.3531, 1.3600, 1.3522, 1.3556
01/04/22, 1.3479, 1.3557, 1.3459, 1.3529
01/03/22, 1.3533, 1.3538, 1.3431, 1.3482
12/31/21, 1.3504, 1.3551, 1.3466, 1.3528
12/30/21, 1.3490, 1.3522, 1.3454, 1.3501
12/29/21, 1.3436, 1.3500, 1.3408, 1.3491
12/28/21, 1.3441, 1.3462, 1.3416, 1.3432
12/27/21, 1.3404, 1.3447, 1.3391, 1.3442
12/24/21, 1.3409, 1.3421, 1.3385, 1.3387
12/23/21, 1.3354, 1.3438, 1.3342, 1.3411
12/22/21, 1.3265, 1.3364, 1.3240, 1.3352
12/21/21, 1.3208, 1.3272, 1.3198, 1.3269
12/20/21, 1.3239, 1.3245, 1.3173, 1.3207
12/17/21, 1.3322, 1.3340, 1.3231, 1.3236
12/16/21, 1.3266, 1.3376, 1.3241, 1.3323
12/15/21, 1.3237, 1.3283, 1.3173, 1.3262
12/14/21, 1.3219, 1.3257, 1.3190, 1.3231
12/13/21, 1.3239, 1.3269, 1.3208, 1.3213
12/10/21, 1.3221, 1.3276, 1.3188, 1.3271
12/09/21, 1.3211, 1.3223, 1.3173, 1.3219
12/08/21, 1.3243, 1.3262, 1.3173, 1.3205
12/07/21, 1.3263, 1.3290, 1.3209, 1.3244
12/06/21, 1.3235, 1.3287, 1.3217, 1.3265
12/03/21, 1.3309, 1.3309, 1.3210, 1.3236
12/02/21, 1.3276, 1.3335, 1.3271, 1.3306
12/01/21, 1.3299, 1.3352, 1.3261, 1.3278
11/30/21, 1.3313, 1.3369, 1.3196, 1.3301
11/29/21, 1.3337, 1.3364, 1.3287, 1.3314
11/26/21, 1.3323, 1.3367, 1.3279, 1.3339
11/25/21, 1.3326, 1.3354, 1.3305, 1.3322
11/24/21, 1.3379, 1.3390, 1.3316, 1.3328
11/23/21, 1.3398, 1.3410, 1.3344, 1.3377
11/22/21, 1.3456, 1.3463, 1.3384, 1.3397
11/19/21, 1.3493, 1.3511, 1.3407, 1.3447
11/18/21, 1.3492, 1.3514, 1.3463, 1.3498
11/17/21, 1.3428, 1.3497, 1.3398, 1.3490
11/16/21, 1.3416, 1.3474, 1.3405, 1.3429
11/15/21, 1.3413, 1.3450, 1.3402, 1.3415
11/12/21, 1.3365, 1.3427, 1.3352, 1.3409
11/11/21, 1.3405, 1.3433, 1.3359, 1.3368
11/10/21, 1.3560, 1.3566, 1.3405, 1.3405
11/09/21, 1.3563, 1.3605, 1.3518, 1.3557
11/08/21, 1.3498, 1.3580, 1.3450, 1.3564
11/05/21, 1.3499, 1.3510, 1.3424, 1.3497
11/04/21, 1.3685, 1.3699, 1.3471, 1.3500
11/03/21, 1.3615, 1.3692, 1.3607, 1.3684
11/02/21, 1.3667, 1.3678, 1.3605, 1.3613
11/01/21, 1.3683, 1.3740, 1.3642, 1.3665
10/29/21, 1.3790, 1.3804, 1.3668, 1.3690
10/28/21, 1.3742, 1.3815, 1.3722, 1.3793
10/27/21, 1.3768, 1.3782, 1.3709, 1.3740
10/26/21, 1.3767, 1.3830, 1.3757, 1.3767
10/25/21, 1.3797, 1.3797, 1.3741, 1.3766
10/22/21, 1.3792, 1.3816, 1.3736, 1.3758
10/21/21, 1.3822, 1.3835, 1.3775, 1.3794
10/20/21, 1.3794, 1.3835, 1.3742, 1.3825
10/19/21, 1.3729, 1.3834, 1.3723, 1.3793
10/18/21, 1.3752, 1.3767, 1.3709, 1.3728
10/15/21, 1.3675, 1.3774, 1.3667, 1.3747
10/14/21, 1.3661, 1.3735, 1.3655, 1.3674
10/13/21, 1.3586, 1.3666, 1.3575, 1.3659
10/12/21, 1.3596, 1.3638, 1.3569, 1.3588
10/11/21, 1.3617, 1.3675, 1.3584, 1.3594
10/08/21, 1.3615, 1.3656, 1.3584, 1.3617
