,Brazil Returns,Russia Returns,India Returns,China Returns,South Africa Returns
0,-0.004931046,-0.0039131236,-0.0011246979,-0.0031904539,-0.0052633397
1,-0.005599477,-0.004399611,-0.0013406905,-0.0036849072,-0.0058552185
2,-0.005606904,-0.00441356,-0.0013469894,-0.0036769647,-0.005862116
3,-0.0055940747,-0.0044169296,-0.0013541145,-0.0036374766,-0.0058467193
4,-0.0055798204,-0.0044133244,-0.0013636972,-0.0035982032,-0.005826162
5,-0.00546715,-0.004329625,-0.0013302404,-0.003513798,-0.005724701
6,-0.0048815007,-0.0038829192,-0.0011435845,-0.0031008439,-0.0051991837
7,-0.0057178787,-0.0045042187,-0.0013987649,-0.003725573,-0.0059562665
8,-0.005080043,-0.004029107,-0.0011902278,-0.0032685988,-0.00538938
9,-0.0056274757,-0.0044433544,-0.0013713902,-0.003652558,-0.00587677
10,-0.005952868,-0.0046930565,-0.0014850918,-0.0038707992,-0.0061636055
11,-0.006169746,-0.004857215,-0.0015598119,-0.0040201135,-0.0063550742
12,-0.0054162988,-0.0042971214,-0.0013266986,-0.0034591814,-0.005675227
13,-0.0050271065,-0.0039969976,-0.0012064915,-0.003182203,-0.005321216
14,-0.0051616537,-0.0040945923,-0.0012233232,-0.0033166462,-0.0054598246
15,-0.005142613,-0.0040770923,-0.0012038171,-0.0033275695,-0.0054521887
16,-0.0050599216,-0.0040195975,-0.0011742739,-0.0032733362,-0.005382989
17,-0.004947461,-0.0039422354,-0.0011579689,-0.0031601323,-0.0052699023
18,-0.004786791,-0.0038214556,-0.0011277131,-0.0030191762,-0.0051110573
19,-0.0051191906,-0.004073237,-0.0012463506,-0.0032326053,-0.005398028
20,-0.0052180565,-0.004142965,-0.0012737563,-0.003306536,-0.005486266
21,-0.0051357406,-0.00407776,-0.0012377799,-0.003264263,-0.005418585
22,-0.0053932816,-0.0042675543,-0.0012960194,-0.0034854757,-0.0056652455
23,-0.0052469857,-0.004162393,-0.001250068,-0.003377626,-0.0055349413
24,-0.005031788,-0.0040059676,-0.001191374,-0.003208021,-0.005336627
25,-0.004746518,-0.0037907579,-0.0011102722,-0.0029948535,-0.005074477
26,-0.004947131,-0.003940596,-0.0011733755,-0.003134436,-0.0052521694
27,-0.004740066,-0.0037792833,-0.0010972406,-0.0030039267,-0.005072066
28,-0.005063943,-0.004015636,-0.0011752858,-0.0032746256,-0.0053773597
29,-0.0050152824,-0.0039757486,-0.0011511846,-0.0032550686,-0.0053385124
30,-0.0049165217,-0.003906263,-0.0011199273,-0.0031808482,-0.005251542
31,-0.0047694,-0.0038026425,-0.0010846324,-0.0030543662,-0.0051140254
32,-0.0046074092,-0.0036821663,-0.0010475924,-0.0029190914,-0.0049597737
33,-0.0046936865,-0.0037467566,-0.0010668817,-0.002991284,-0.005043488
34,-0.0046793567,-0.0037307665,-0.001056287,-0.002991013,-0.005033386
35,-0.0052026766,-0.0041169347,-0.0012179019,-0.00337999,-0.005504139
36,-0.005539653,-0.004363791,-0.0013276176,-0.0036318793,-0.0058042165
37,-0.0055510113,-0.0043788324,-0.0013323469,-0.0036351685,-0.0058171144
38,-0.005531715,-0.004375941,-0.0013327084,-0.0036013895,-0.005799493
39,-0.005500986,-0.0043595107,-0.0013294556,-0.00356377,-0.005770125
40,-0.0056145266,-0.0044428534,-0.0013657728,-0.0036473158,-0.0058718883
41,-0.0055899937,-0.0044139316,-0.0013470721,-0.0036574637,-0.0058559943
42,-0.005885482,-0.0046128784,-0.0014444789,-0.0039082877,-0.0061163097
43,-0.006191308,-0.0047910083,-0.0015660283,-0.0041945446,-0.006365492
44,-0.0060650883,-0.0047202483,-0.0015107109,-0.004087251,-0.0062678023
45,-0.0059339018,-0.0046405103,-0.0014577067,-0.00398305,-0.006162087
46,-0.0057551656,-0.0045323055,-0.0013927964,-0.0038212612,-0.0060124984
47,-0.0055003855,-0.0043562474,-0.0013146169,-0.0036009783,-0.005781987
48,-0.0047611026,-0.003802627,-0.001063505,-0.0030886498,-0.0051326966
49,-0.005155577,-0.00408525,-0.0011880284,-0.003392913,-0.0054834564
50,-0.005511804,-0.0043194937,-0.0013062527,-0.0037004745,-0.005793404
51,-0.0053034034,-0.0041642524,-0.0012292918,-0.0035780105,-0.0056173364
52,-0.0049947863,-0.0039447546,-0.0011150843,-0.003373122,-0.0053579453
53,-0.00460867,-0.0036615015,-0.0009741113,-0.003122924,-0.0050300974
54,-0.0044787885,-0.00357126,-0.00092758157,-0.0030143547,-0.0049162586
55,-0.004475923,-0.003537724,-0.0009285935,-0.0030629907,-0.0049069277
56,-0.004616532,-0.0035019494,-0.0010660143,-0.0033234206,-0.004951316
57,-0.0051230914,-0.0038027866,-0.0013127686,-0.0037062026,-0.0053246343
58,-0.004740141,-0.0035221134,-0.0011702053,-0.0034678434,-0.0050033215
59,-0.0041328697,-0.0031170181,-0.0009075281,-0.0030560107,-0.0045257555
60,-0.0034495695,-0.002646528,-0.00062469416,-0.0025946917,-0.003975743
61,-0.0035612048,-0.002722236,-0.00067097606,-0.0026710986,-0.0040657967
62,-0.0043174727,-0.0030886047,-0.0011508748,-0.0032883242,-0.0045431447
63,-0.004523953,-0.0031583935,-0.0013107136,-0.003462162,-0.0046439744
64,-0.004558479,-0.0033179151,-0.0011789104,-0.003400332,-0.0047894754
65,-0.0044717817,-0.003261187,-0.0011413953,-0.003350883,-0.004725092
66,-0.0041734576,-0.0030929912,-0.0009827646,-0.0031381268,-0.004519462
67,-0.0038752237,-0.0029085167,-0.0008405732,-0.0029297625,-0.0042990157
68,-0.0035788051,-0.0027942562,-0.0006383454,-0.0026351702,-0.004122591
69,-0.0039090444,-0.003062286,-0.0007431148,-0.0028077094,-0.004416454
70,-0.0046884045,-0.0035986337,-0.0010616153,-0.003344987,-0.0050489823
71,-0.004272219,-0.003269224,-0.000923544,-0.0031030583,-0.0046837693
72,-0.0040906165,-0.003159069,-0.00083864224,-0.0029695963,-0.0045459964
73,-0.0037645488,-0.0029605625,-0.0006898627,-0.0027204168,-0.0042959503
74,-0.0034053507,-0.0027208019,-0.0005432723,-0.0024579405,-0.0040046927
75,-0.0033578156,-0.0027053126,-0.00051880954,-0.0023828044,-0.0039678565
76,-0.0032698729,-0.0025820818,-0.00051275844,-0.0024105192,-0.0038681927
77,-0.0037604375,-0.0029134192,-0.0007164939,-0.0027554198,-0.0042638145
78,-0.004167726,-0.003178125,-0.00089633453,-0.0030523853,-0.004584626
79,-0.0044273827,-0.0033980024,-0.0009734504,-0.0031945466,-0.00482209
80,-0.0045394828,-0.003527479,-0.0009850777,-0.003221626,-0.004945329
81,-0.0046552294,-0.0036414207,-0.0010135263,-0.0032619738,-0.0050575333
82,-0.004825743,-0.0037825617,-0.0010678524,-0.0033405672,-0.005206954
83,-0.005264046,-0.0040453547,-0.001265041,-0.0036825899,-0.00554313
84,-0.004104526,-0.0032274083,-0.0008071784,-0.0028849014,-0.0045796977
85,-0.0041842307,-0.0032597072,-0.0008495363,-0.002968849,-0.0046328506
86,-0.0041233567,-0.0032182785,-0.0008243095,-0.0029304165,-0.0045835855
87,-0.0039357827,-0.003103874,-0.0007413903,-0.0027850594,-0.0044382885
88,-0.0037633784,-0.00299104,-0.00067091413,-0.0026548584,-0.004299392
89,-0.004280096,-0.0033592451,-0.00087067403,-0.003003011,-0.0047297273
90,-0.004453656,-0.0034261046,-0.0009732439,-0.0031771667,-0.0048409794
91,-0.0049988227,-0.0037617374,-0.0012270613,-0.0035780198,-0.0052541574
92,-0.0050847246,-0.003830866,-0.0012522675,-0.003625544,-0.005330361
93,-0.004796784,-0.0036542765,-0.0011176141,-0.0034183476,-0.0051133055
94,-0.0043962775,-0.0034177946,-0.0009286142,-0.0031106458,-0.00481353
95,-0.004012577,-0.0031757117,-0.0007651508,-0.0028159136,-0.004510345
96,-0.0041689863,-0.0032649285,-0.00083813624,-0.002952721,-0.004632688
97,-0.0040334333,-0.0031666276,-0.0007827776,-0.0028556448,-0.0045186863
98,-0.00427651,-0.0033326074,-0.0008807111,-0.0030236428,-0.004717015
99,-0.003962536,-0.003106439,-0.0007605247,-0.00281454,-0.0044542844
100,-0.0041603134,-0.0032743237,-0.0008255796,-0.0029215957,-0.0046328967
101,-0.0042413687,-0.0033683747,-0.0008450651,-0.002932332,-0.004715761
102,-0.0043156124,-0.0034445762,-0.00087074627,-0.0029482637,-0.0047841156
103,-0.004605969,-0.0036594372,-0.0009792538,-0.0031323335,-0.0050290897
104,-0.00440324,-0.00350371,-0.0009048743,-0.002995302,-0.0048521683
105,-0.0047666244,-0.0037454362,-0.0010458989,-0.00326844,-0.0051520504
106,-0.004949832,-0.003810292,-0.0011502345,-0.0034792246,-0.0052732886
107,-0.0047863107,-0.0037158541,-0.0010738724,-0.0033531536,-0.0051507736
108,-0.0045334958,-0.0035686418,-0.0009606666,-0.0031485455,-0.004956885
109,-0.004272759,-0.0034001044,-0.0008571157,-0.0029466192,-0.004744256
110,-0.0038583432,-0.0031109012,-0.0007056411,-0.0026307972,-0.0043902216
111,-0.003944185,-0.0031551379,-0.0007393354,-0.0027142684,-0.0044579445
112,-0.0039798063,-0.0031649505,-0.0007572823,-0.0027555693,-0.004479765
113,-0.0042711683,-0.0033614307,-0.00087171694,-0.0029723062,-0.0047180043
114,-0.004413128,-0.0034664024,-0.0009247522,-0.0030701577,-0.004838671
115,-0.0044468436,-0.0035079522,-0.0009309995,-0.0030761193,-0.004875284
116,-0.0044938684,-0.0035507241,-0.0009465404,-0.0030976948,-0.0049185064
117,-0.00472083,-0.0037159072,-0.0010334455,-0.0032386975,-0.00510632
118,-0.0043013426,-0.0033692473,-0.00089066545,-0.0030116823,-0.00473459
119,-0.0047433972,-0.0036187903,-0.0011052537,-0.003372384,-0.005061453
120,-0.0046272753,-0.0035167176,-0.0010698556,-0.0033132357,-0.0049541257
121,-0.004693266,-0.0035905591,-0.0010768361,-0.0033384461,-0.005027492
122,-0.004667248,-0.0036203612,-0.0010353455,-0.0032788306,-0.0050373804
123,-0.0046931463,-0.0036740385,-0.0010270845,-0.0032573298,-0.005078262
124,-0.004789882,-0.0037484262,-0.0010590957,-0.003308657,-0.0051622316
125,-0.0045593493,-0.0035848445,-0.0009705178,-0.003142724,-0.004967665
126,-0.004914571,-0.003820006,-0.0011148261,-0.0034020795,-0.0052561266
127,-0.005200231,-0.003998925,-0.00124285,-0.0036275997,-0.005481933
128,-0.005209669,-0.004038942,-0.0012277222,-0.003604333,-0.005509875
129,-0.0051644896,-0.0040492937,-0.001191973,-0.0035260853,-0.0054930146
130,-0.0051413826,-0.0040603355,-0.0011777228,-0.0034691982,-0.005481891
131,-0.0051742876,-0.0040926575,-0.001190837,-0.0034680397,-0.005509057
132,-0.0052235182,-0.004112882,-0.0012108905,-0.0035215628,-0.005546386
133,-0.0053011226,-0.004154212,-0.0012455968,-0.003593475,-0.0056054927
134,-0.0052456954,-0.004095556,-0.0012295808,-0.0035854017,-0.0055527305
135,-0.0051676705,-0.004054735,-0.001194348,-0.003516601,-0.0054933955
136,-0.005025786,-0.003975308,-0.0011365007,-0.0033886426,-0.0053802487
137,-0.004902207,-0.0038887856,-0.0010881742,-0.003300537,-0.0052777007
