,Date,Open,High,Low,Close,Adj Close,Volume
0,2011-03-31,51.689999,51.950001,51.59,51.900002,42.296864,14200
1,2011-04-01,52.580002,52.720001,52.529999,52.619999,42.883629,2900
2,2011-04-04,53.779999,53.779999,53.119999,53.740002,43.796398,10500
3,2011-04-05,53.5,53.560001,53.400002,53.419998,43.535599,3700
4,2011-04-06,53.959999,53.970001,53.529999,53.689999,43.755653,4700
5,2011-04-07,53.900002,53.900002,53.389999,53.59,43.674156,7400
6,2011-04-08,54.02,54.02,53.509998,53.720001,43.780102,6300
7,2011-04-11,53.889999,53.889999,52.919998,52.93,43.136284,18500
8,2011-04-12,52.59,52.740002,52.259998,52.560001,42.834736,7200
9,2011-04-13,53.189999,53.189999,52.849998,53.09,43.266674,2000
10,2011-04-14,53.189999,53.349998,53.009998,53.25,43.397068,4700
11,2011-04-15,53.470001,53.619999,53.169998,53.619999,43.698601,9700
12,2011-04-18,52.830002,52.830002,52.240002,52.779999,43.014015,1900
13,2011-04-19,52.810001,52.849998,52.52,52.700001,42.948833,3900
14,2011-04-20,53.73,53.779999,53.439999,53.639999,43.714901,5300
15,2011-04-21,54.189999,54.25,53.919998,54.25,44.212032,2200
16,2011-04-25,54.259998,54.259998,53.59,53.689999,43.755653,1000
17,2011-04-26,53.860001,53.889999,53.490002,53.740002,43.796398,4300
18,2011-04-27,53.66,53.66,52.669998,52.91,43.11998,15100
19,2011-04-28,52.5,52.810001,52.5,52.650002,42.908081,1000
20,2011-04-29,52.52,52.779999,52.119999,52.779999,43.014015,1800
21,2011-05-02,53.34,53.34,52.919998,53.009998,43.201473,5600
22,2011-05-03,52.200001,52.279999,51.610001,51.650002,42.093113,6600
23,2011-05-04,51.139999,51.18,50.880001,51.07,41.620441,2000
24,2011-05-05,50.720001,50.849998,50.720001,50.849998,41.441135,400
25,2011-05-06,51.82,51.82,51.02,51.02,41.579681,7700
26,2011-05-09,51.360001,51.790001,51.189999,51.599998,42.052364,27000
27,2011-05-10,51.73,51.860001,51.73,51.810001,42.223511,4900
28,2011-05-11,51.759998,51.759998,50.860001,50.860001,41.449299,2100
29,2011-05-12,50.98,50.98,50.98,50.98,41.547081,100
30,2011-05-13,51.299999,51.299999,50.639999,50.75,41.359646,2000
31,2011-05-16,50.880001,51.310001,50.84,50.93,41.50634,1500
32,2011-05-17,51.139999,51.139999,50.580002,50.709999,41.327049,5700
33,2011-05-18,51.209999,52.029999,51.209999,52.029999,42.402802,900
34,2011-05-19,52.150002,52.150002,51.639999,51.759998,42.182766,6500
35,2011-05-20,51.450001,51.59,51.330002,51.470001,41.946426,4200
36,2011-05-23,50.299999,50.299999,50.09,50.09,40.82177,3200
37,2011-05-24,50.889999,50.93,50.360001,50.52,41.172203,12700
38,2011-05-25,50.419998,50.889999,50.419998,50.860001,41.449299,5400
39,2011-05-26,50.950001,50.950001,50.57,50.889999,41.473747,2100
40,2011-05-27,51.41,51.41,51.25,51.279999,41.79158,4800
41,2011-05-31,52.380001,52.419998,52.16,52.419998,42.720634,1400
42,2011-06-01,52.369999,52.369999,51.66,51.66,42.101265,1300
43,2011-06-02,51.48,51.830002,51.369999,51.830002,42.239811,14600
44,2011-06-03,51.0,51.16,50.939999,50.950001,41.52264,2400
45,2011-06-06,50.779999,50.779999,50.610001,50.610001,41.245548,400
46,2011-06-07,51.110001,51.119999,50.860001,50.919998,41.498188,1500
47,2011-06-08,50.349998,50.470001,50.099998,50.099998,40.829914,1200
