,Brazil Returns,Russia Returns,India Returns,China Returns,South Africa Returns
0,0.01872674,-0.02867794,0.1101239,0.025895983,0.10946396
1,-0.035886828,0.19658212,-0.09030979,-0.040089898,0.07442732
2,0.020344744,0.1752718,0.01831678,-0.09223174,0.013787115
3,0.00818484,0.2014352,0.026786637,0.010945852,0.062089443
4,0.030452678,0.1345571,0.113513865,-0.037536465,0.017504098
5,-0.09110993,0.01597011,0.03724947,-0.02225565,0.06851566
6,-0.089824505,0.21700187,0.010942032,-0.029039681,-0.081930675
7,-0.17574905,0.1819942,0.03369495,-0.09053488,0.048213456
8,-0.18581675,0.15292643,0.0009198279,-0.05020789,0.08909647
9,0.0024844543,0.12668237,0.014650739,-0.04450367,0.08630026
10,0.022885915,0.18682338,0.033446938,-0.015498993,0.04125112
11,-0.25175345,0.17161858,0.06137344,0.004454969,0.09775906
12,-0.047912072,-0.025901921,0.03436197,-0.014294186,0.12960225
13,-0.05594622,0.18856084,0.0029506662,-0.1526155,0.0755097
14,-0.054004516,0.1443315,-0.010321442,-0.06855044,0.038801514
15,-0.14471026,0.25624308,0.025861494,-0.02613081,0.015848497
16,-0.083644815,0.18242435,-0.09952206,-0.045880474,0.04255835
17,-0.11872844,0.18201329,0.012424137,0.028429836,0.046899304
18,-0.11078846,0.17372604,0.027463207,-0.044365756,-0.04484924
19,-0.07918317,0.06369037,0.07973671,0.020510163,0.038344253
20,-0.109779894,0.12197254,0.1502716,-0.10971511,0.026504528
21,-0.19630279,-0.056892924,0.058243938,-0.06442835,0.063440025
22,-0.15508737,0.2650706,0.024869923,-0.0569434,0.023101045
23,-0.097773306,0.18459903,0.021624686,-0.006166649,0.023128541
24,-0.15112561,0.1791852,0.02416321,-0.044566657,-0.06931203
25,-0.1450128,0.10484069,0.04119165,-0.037569594,0.042271804
26,-0.13553259,0.22471246,0.016275594,-0.066937186,0.01934306
27,-0.10321995,0.049861576,0.051710203,-0.084400065,0.020341508
28,-0.09154094,0.21198279,0.06811388,-0.028735239,0.029687393
29,-0.04980768,0.1304002,0.056073643,-0.081286274,0.06923512
30,0.072754644,0.2295899,0.13164638,0.0056040618,0.026572553
31,-0.12531966,0.12038078,0.080430806,-0.030296983,-0.077946655
32,-0.08964013,-0.107071325,0.031840183,-0.016094793,0.06538517
33,-0.10167916,0.099416465,-0.10550912,-0.040632915,0.06347528
34,-0.18611892,0.12781501,0.13669792,-0.089809135,0.09473092
35,-0.048844423,0.16435193,0.1182925,-0.04816857,0.053107575
36,-0.12872382,0.07079857,0.035471756,-0.01396024,0.0903668
37,-0.2589759,-0.0011950781,-0.05930235,-0.02982157,0.09162573
38,-0.038006645,0.02937798,-0.019600691,-0.038188856,0.0871379
39,-0.0047895666,-0.048061498,-0.012536602,-0.046481956,0.019913156
40,-0.10351264,0.23087825,0.0432732,0.039632365,0.057591297
41,-0.0938964,0.21894652,0.067147374,0.01119732,0.01321858
42,-0.17553546,0.11479122,0.05115795,-0.058058627,0.043046404
43,-0.08311621,0.19897465,0.1351458,-0.067057945,-0.059535068
44,-0.08631166,0.21525627,0.1357691,-0.056920953,0.08840922
45,-0.24257687,0.17929903,0.03807775,0.02783186,-0.008617084
46,-0.057231292,0.1071125,0.05068339,-0.049884472,0.057766575
47,-0.11579541,-0.15284114,0.049128752,0.034631826,-0.010922688
48,-0.10968342,0.028034842,0.066756316,-0.046567667,0.079969585
49,-0.13019751,0.15012442,-0.0023486284,-0.04940359,-0.0006336381
50,-0.09071434,0.19761989,0.030568546,-0.08271504,0.052226067
51,-0.08394121,-0.041556653,0.13498998,0.013512158,0.07591447
52,-0.08716649,0.2574785,0.053922668,-0.073648915,0.08791962
