,Brazil Returns,Russia Returns,India Returns,China Returns,South Africa Returns
0,-0.01596099,0.0042390395,-0.0030204854,-0.00064473297,-0.0055531715
1,-0.010134895,-0.0055736285,-0.012635615,0.011251096,-0.01676311
2,-0.01265968,-0.0042273626,-0.009444259,0.009718399,-0.012771849
3,-0.016460557,-0.00888881,-0.010366108,0.0054959785,-0.006655064
4,-0.012566261,-4.043598e-05,-0.007645254,0.0049651205,-0.0059503587
5,-0.01707263,0.0049526673,0.00042961343,-0.000755956,-0.010046964
6,-0.010641605,-0.00040816294,-0.00013568268,0.0040292507,-0.015288516
7,-0.024876228,0.0070078857,-0.010653599,0.0066118995,-0.006014282
8,-0.010856682,-0.0025219538,-0.010318804,0.007488817,-0.00794353
9,-0.01718098,-0.0050643883,-0.011312114,0.0024637186,-0.0102625005
10,-0.005031953,-0.0070256167,-0.018793236,0.0102178985,-0.013423494
11,-0.015796823,-0.014083137,-0.017079365,0.010041743,-0.018137123
12,-0.00264152,-0.0025756082,0.0034818035,0.008747928,-0.009814623
13,-0.0090049645,-0.00144006,0.0012149757,0.0055431006,-0.015871268
14,-0.010799349,-0.015334122,0.00047625677,0.013143056,-0.009404222
15,-0.016687024,-0.017615426,-0.008617773,0.0041092928,-0.011789945
16,-0.021426806,-0.013879455,-0.015984554,-0.0010095834,-0.014048117
17,-0.009432719,-0.009698265,-0.008703836,0.001395714,0.0011507585
18,-0.012744562,0.0002993709,-0.002023452,0.0022082503,-0.0006539908
19,-0.022717062,0.007120735,-0.0034970024,-0.00036280224,-0.010574028
20,-0.013696042,0.0038029426,0.0054205223,0.006289808,-0.010929984
21,-0.024883145,-0.008378052,-0.0047403667,0.010032044,-0.009421025
22,-0.0191195,-0.017337743,-0.009609613,0.0061660265,-0.0020448745
23,-0.021444721,-0.012406528,-0.007978211,0.0012927885,-0.005016856
24,-0.018753145,-0.020170989,-0.005532895,0.006186817,-0.0057214824
25,-0.016311845,-0.022925045,-0.015625378,0.008637583,-0.00825161
26,-0.011669774,-0.00035318037,-0.0023948122,0.01632411,-0.0032001005
27,0.00036088057,0.003672859,-0.003318886,0.007986868,-0.0055036927
28,-0.0065862625,0.0025142704,-0.007884547,0.011602061,-0.0029765517
29,-0.006032993,-0.00017637847,-0.012464318,0.010054694,-0.009261158
30,-0.015507382,0.004459645,-0.0021632684,0.0034854792,-0.013412403
31,-0.015966468,0.0063108173,-0.0024996488,0.0027026196,-0.008986979
32,-0.018737555,0.00323167,-0.009051276,0.0034086986,-0.006882793
33,0.0030593753,0.012475007,-0.00023020332,0.005457172,-0.004856771
34,-0.003008986,0.0026536887,0.0032094712,0.0062584863,-0.00238079
35,-0.0129986815,-0.013171951,-0.0061887573,0.009102369,-0.010797943
36,-0.00093401223,-0.004192233,-0.014984716,0.013501019,-0.0076970644
37,-0.010777983,-0.013630747,-0.019791251,0.0042916336,-0.013982991
38,-0.025053088,-0.011678208,-0.01831403,0.0037175964,-0.012972681
39,-0.01950158,-0.024158439,-0.01743534,0.0047357036,-0.02674348
40,-0.03491386,-0.013642912,-0.007092654,-0.0022824018,-0.015543811
41,-0.045513358,0.0040774154,-0.018641416,0.007833101,-0.01511969
42,-0.061965905,-0.011367133,-0.0059524323,0.010347286,-0.0066349716
43,-0.02768016,0.010837581,-0.01921379,0.0061151385,0.014004946
44,-0.032623887,0.0039777714,-0.012599396,0.0044433917,-0.0072944895
45,-0.034714345,0.0071312836,-0.020454254,0.0033899357,-0.005648892
46,-0.035159938,0.005398182,-0.023686858,0.004860821,-0.008127112
47,-0.058635328,0.014199738,-0.005787033,-0.0027367596,-0.009033392
48,-0.0069353925,-0.006439576,-0.0076724994,0.0022962065,-0.013523599
49,-0.024001047,-0.0049626953,-0.0037040885,-0.0015383858,0.004157928
50,-0.022395512,-0.006131787,-0.031805504,0.00337691,0.012632441
51,-0.033735108,0.010117715,-0.033935286,-0.008611944,-0.013938612
52,-0.049205624,0.00175866,-0.046585847,-0.011302302,-0.0086593265
53,-0.081003524,-0.011696861,-0.045035783,-0.009651795,-0.011486462
54,-0.012431368,0.011811756,-0.011038228,-0.016694667,-0.017299857
55,-0.0787529,-0.017633358,-0.012416793,-0.019675327,-0.012490512
56,-0.09005212,-0.022150204,-0.025525507,-0.023206081,-0.006939587
57,-0.07005919,-0.020567175,-0.052398995,-0.020439247,0.006556098
58,-0.06723192,-0.01643067,-0.04961742,-0.023287987,-0.012337119
59,-0.07288955,-0.02256455,-0.014048545,-0.023699153,-0.01710706
60,-0.07083153,-0.018631553,-0.013323013,-0.014790339,-0.012449435
61,-0.041606788,-0.012197245,-0.025260614,-0.019973516,-0.023940945
62,-0.052856654,-0.0027703354,-0.016006837,-0.020044776,-0.020917563
63,-0.03200149,-0.021429837,-0.0140339285,-0.009483432,-0.008659897
64,-0.056046166,-0.029001733,-0.015130108,-0.011851746,-0.00088829186
65,-0.053496856,-0.025783084,-0.015651353,-0.02010547,-0.02108128
66,-0.042077567,-0.016978417,-0.020289086,-0.021495318,-0.021437664
67,-0.057005305,-0.01655941,-0.019108923,-0.025411317,-0.012357607
68,-0.029829198,-0.024432456,-0.028358353,-0.026305942,-0.020993065
69,-0.06019453,-0.020287147,-0.032875728,-0.015943278,-0.034943208
70,-0.047718648,-0.029935868,-0.027029581,-0.026533313,-0.01193357
71,-0.05639985,-0.032704502,-0.01601071,-0.02247144,0.0025814322
72,-0.057400785,-0.023516065,-0.026181374,-0.0363553,-0.025985919
73,-0.053021684,-0.012339789,-0.022303684,-0.027644193,-0.02675549
74,-0.013680677,-0.010899785,-0.02596803,-0.025352608,-0.025660267
75,-0.030764697,-0.03184011,-0.025921468,-0.022696324,-0.031162845
76,0.002820095,-0.0095348125,-0.029600566,-0.023301963,-0.030888647
77,-0.014154091,-0.021302607,-0.023084594,-0.019913599,-0.011509277
